"title","author","journal","year","vol","page","place","title_raw","author_raw"
"一周间叶事研究提纲:统治的秘奥","石啸冲","《国讯》",1947,"第413期","6","上海","一周间叶事研究提纲:统治的秘奥","石啸冲"
"暹罗的不流血政变","Chapman，C.","《国讯》",1947,"第443期","6","上海","暹罗的不流血政变","Chapman，C. 王民"
"暹罗的不流血政变","王民","《国讯》",1947,"第443期","6","上海","暹罗的不流血政变","Chapman，C. 王民"
"人民的世纪:美国也想消灭种族隔膜","M.H.","《国讯》",1947,"第438期","11","上海","人民的世纪:美国也想消灭种族隔膜","M.H."
"人民的世纪:华莱士要求杜史会谈","M.H.","《国讯》",1947,"第435期","11","上海","人民的世纪:华莱士要求杜史会谈","M.H."
"人民的世纪:报道国内外民主消息，记载全世界解放运动:东北民报停刊三日","M.H.","《国讯》",1947,"第420期","11","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:东北民报停刊三日","M.H."
"一周间时事研究提纲:巴黎会议处在僵持的阶段","石啸冲","《国讯》",1947,"第420期","9","上海","一周间时事研究提纲:巴黎会议处在僵持的阶段","石啸冲"
"克利浦斯的支票","陈行健","《国讯》",1947,"第435期","4-5","上海","克利浦斯的支票","陈行健"
"黄炎培先生七十寿辰与诸亲友谈话录","鹤如","《国讯》",1947,"第438期","2-3","上海","黄炎培先生七十寿辰与诸亲友谈话录","鹤如"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:华莱士警告反共叫嚣","M.H.","《国讯》",1947,"第441期","11","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:华莱士警告反共叫嚣","M.H."
"复撰一联:[诗词]","黄炎培","《国讯》",1947,"第439期","9","上海","复撰一联:[诗词]","黄炎培"
"香港:自由的孤岛(香港航讯)","Zee，W.S.","《国讯》",1947,"第438期","7","上海","香港:自由的孤岛(香港航讯)","Zee，W.S. 华"
"香港:自由的孤岛(香港航讯)","华","《国讯》",1947,"第438期","7","上海","香港:自由的孤岛(香港航讯)","Zee，W.S. 华"
"昆明官场现形记(昆明航讯)","Shih，H.P.F.","《国讯》",1947,"第438期","8-9","上海","昆明官场现形记(昆明航讯)","Shih，H.P.F. 王民"
"昆明官场现形记(昆明航讯)","王民","《国讯》",1947,"第438期","8-9","上海","昆明官场现形记(昆明航讯)","Shih，H.P.F. 王民"
"美苏在政治上的强点和弱点","林焕平","《国讯》",1947,"第439期","8","上海","美苏在政治上的强点和弱点","林焕平"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:美报评孙科谈话","M.H.","《国讯》",1947,"第441期","11","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:美报评孙科谈话","M.H."
"苞桑随笔:内有怨女","抱一","《国讯》",1947,"第419期","12","上海","苞桑随笔:内有怨女","抱一"
"旧诗新话:小车班班……","补斋","《国讯》",1947,"第419期","12","上海","旧诗新话:小车班班……","补斋"
"不会说·不敢说·不必说:在中华工商专科学校演讲","郭沫若","《国讯》",1947,"第421期","2","上海","不会说·不敢说·不必说:在中华工商专科学校演讲","郭沫若 沈鹤如"
"不会说·不敢说·不必说:在中华工商专科学校演讲","沈鹤如","《国讯》",1947,"第421期","2","上海","不会说·不敢说·不必说:在中华工商专科学校演讲","郭沫若 沈鹤如"
"新闻人物拾遗:新任缅甸临时政府总理的牛泰真","光祖","《国讯》",1947,"第425期","9","上海","新闻人物拾遗:新任缅甸临时政府总理的牛泰真","光祖"
"词:感怀(旧调临江仙)","黄炎培","《国讯》",1947,"第420期","6","上海","词:感怀(旧调临江仙)","黄炎培"
"说亮话:我所推测的苏联","黄炎培","《国讯》",1947,"第418期","封1","上海","说亮话:我所推测的苏联","黄炎培"
"两大思潮与“三次大战”","林维仁","《国讯》",1947,"第426期","4-5","上海","两大思潮与“三次大战”","林维仁"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:在华外人评对华援助","M.H.","《国讯》",1947,"第425期","11","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:在华外人评对华援助","M.H."
"谋求职业不能不劳而获","何清云","《国讯》",1947,"第414期","4","上海","谋求职业不能不劳而获","何清云"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:华莱士为民主和平呼吁","光祖","《国讯》",1947,"第412期","8","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:华莱士为民主和平呼吁","光祖"
"法越局势的透视(堤岸航讯)","（越）阮文化","《国讯》",1947,"第437期","7","上海","法越局势的透视(堤岸航讯)","(越)阮文化"
"苏联和英美经济复兴的对照","闵军","《国讯》",1947,"第429期","7","上海","苏联和英美经济复兴的对照","闵军"
"旧把戏的再演与巩固欧洲安全的因素","石啸冲","《国讯》",1947,"第429期","10","上海","旧把戏的再演与巩固欧洲安全的因素","石啸冲"
"旧诗新话:二月卖新丝……","补斋","《国讯》",1947,"第429期","4","上海","旧诗新话:二月卖新丝……","补斋"
"投降两周年·帝国复活了:今日的日本","扬庶威","《国讯》",1947,"第425期","5-6","上海","投降两周年·帝国复活了:今日的日本","扬庶威"
"我们对日应有的基本主张","李正文","《国讯》",1947,"第425期","3-4","上海","我们对日应有的基本主张","李正文"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:昆明青年公祭李闻","M.H.","《国讯》",1947,"第424期","12","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:昆明青年公祭李闻","M.H."
"人民的世纪:报道国内外民主消息，记载全世界解放运动:路透社谈各报战事消息","M.H.","《国讯》",1947,"第424期","12","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:路透社谈各报战事消息","M.H."
"人民的世纪:报道国内外民主消息，记载全世界解放运动:美进步公民重要决议","M.H.","《国讯》",1947,"第421期","12","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:美进步公民重要决议","M.H."
"说亮话:真在驱使失业吗!","黄炎培","《国讯》",1947,"第423期","封1","上海","说亮话:真在驱使失业吗!","黄炎培"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:美教授指摘中国政府","M.H.","《国讯》",1947,"第423期","12","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:美教授指摘中国政府","M.H."
"人民的世纪:报道国内外民主消息，记载全世界解放运动:华侨党员要求澈查孔宋财产","M.H.","《国讯》",1947,"第423期","12","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:华侨党员要求澈查孔宋财产","M.H."
"人民的世纪:报道国内外民主消息，记载全世界解放运动:华侨响应李冯","M.H.","《国讯》",1947,"第422期","12","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:华侨响应李冯","M.H."
"一周间时事研究提纲:印荷的局势","石啸冲","《国讯》",1947,"第423期","10","上海","一周间时事研究提纲:印荷的局势","石啸冲"
"野村使美回忆录(下)","罗多夫","《国讯》",1947,"第423期","11","上海","野村使美回忆录(下)","罗多夫 苏新"
"野村使美回忆录(下)","苏新","《国讯》",1947,"第423期","11","上海","野村使美回忆录(下)","罗多夫 苏新"
"人民的世纪:华莱士抨击战争歇斯的里","M.H.","《国讯》",1947,"第432期","11","上海","人民的世纪:华莱士抨击战争歇斯的里","M.H."
"从昆明报纸看云南","Shih，H.P.F.","《国讯》",1947,"第429期","8-9","上海","从昆明报纸看云南","Shih，H.P.F. 王民"
"从昆明报纸看云南","王民","《国讯》",1947,"第429期","8-9","上海","从昆明报纸看云南","Shih，H.P.F. 王民"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:北大教授要求改善生活","M.H.","《国讯》",1947,"第430期","11","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:北大教授要求改善生活","M.H."
"人民的世纪:报道国内外民主消息，记载全世界解放运动:学联致函世界青年","M.H.","《国讯》",1947,"第427期","11","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:学联致函世界青年","M.H."
"从事教育及与问政治(八月八日下午在青年会讲)","张东荪","《国讯》",1947,"第427期","2-3","上海","从事教育及与问政治(八月八日下午在青年会讲)","张东荪 TG"
"从事教育及与问政治(八月八日下午在青年会讲)","TG","《国讯》",1947,"第427期","2-3","上海","从事教育及与问政治(八月八日下午在青年会讲)","张东荪 TG"
"读者投书:南洋华侨的呼声","李文奎","《国讯》",1947,"第425期","12","上海","读者投书:南洋华侨的呼声","李文奎"
"说亮话:看王外长最后主张","黄炎培","《国讯》",1947,"第432期","封1","上海","说亮话:看王外长最后主张","黄炎培"
"读者之声:“春色三分二已空”","放翁句","《国讯》",1947,"第433期","12","上海","读者之声:“春色三分二已空”","放翁句"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:本市学生组学业保障会","M.H.","《国讯》",1947,"第423期","12","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:本市学生组学业保障会","M.H."
"一周间时事研究提纲:反动势力的回击","石啸冲","《国讯》",1947,"第415期","7","上海","一周间时事研究提纲:反动势力的回击","石啸冲"
"威胁下的厦门(厦门通讯)","夏晴","《国讯》",1947,"第414期","5","上海","威胁下的厦门(厦门通讯)","夏晴"
"一周间时事研究提纲:和平的烟霭","石啸冲","《国讯》",1947,"第414期","6","上海","一周间时事研究提纲:和平的烟霭","石啸冲"
"猪年的中国","Martin，R.P.","《国讯》",1947,"第427期","5-6","上海","猪年的中国","Martin，R.P. 文骥"
"猪年的中国","文骥","《国讯》",1947,"第427期","5-6","上海","猪年的中国","Martin，R.P. 文骥"
"苞桑随笔:自箴语(四)","抱一","《国讯》",1947,"第427期","7","上海","苞桑随笔:自箴语(四)","抱一"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:澳女作家控诉美国","M.H.","《国讯》",1947,"第425期","11","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:澳女作家控诉美国","M.H."
"纳粹工业家新官升图(附图)","M.H.","《国讯》",1947,"第444期","9","上海","纳粹工业家新官升图(附图)","M.H."
"人民的世纪:报道国内外民主消息，记载全世界解放运动:特港反法西斯联盟斥英美","M.H.","《国讯》",1947,"第444期","19","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:特港反法西斯联盟斥英美","M.H."
"人民的世纪:民社党报告今后方针","M.H.","《国讯》",1947,"第432期","11","上海","人民的世纪:民社党报告今后方针","M.H."
"泛美洲会议的透视","潘光祖","《国讯》",1947,"第428期","4-5","上海","泛美洲会议的透视","潘光祖"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:和平提案三点办法","M.H.","《国讯》",1947,"第417期","11","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:和平提案三点办法","M.H."
"人民的世纪:报道国内外民主消息，记载全世界解放运动:香港民主派发表宣言","光祖","《国讯》",1947,"第412期","8","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:香港民主派发表宣言","光祖"
"小星的话:[诗歌]","李白凤","《国讯》",1947,"第438期","8","上海","小星的话:[诗歌]","李白凤"
"悼俞颂华先生(附照片)","寰澄","《国讯》",1947,"第437期","12","上海","悼俞颂华先生(附照片)","寰澄"
"人民的世纪:教育联合团体要求民主化","M.H.","《国讯》",1947,"第438期","11","上海","人民的世纪:教育联合团体要求民主化","M.H."
"常识小言","杞人","《国讯》",1947,"第440期","4-6","上海","常识小言","杞人"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:被放逐之希腊律师的信","M.H.","《国讯》",1947,"第421期","12","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:被放逐之希腊律师的信","M.H."
"美国经济萧条的展望(上)","（美）华莱士","《国讯》",1947,"第433期","2","上海","美国经济萧条的展望(上)","(美)华莱士 文骊"
"美国经济萧条的展望(上)","文骊","《国讯》",1947,"第433期","2","上海","美国经济萧条的展望(上)","(美)华莱士 文骊"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:李济琛上书蒋主席","M.H.","《国讯》",1947,"第443期","11","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:李济琛上书蒋主席","M.H."
"全马来亚总罢业的胜利(本刊特约星洲航讯)","云虹","《国讯》",1947,"第439期","9","上海","全马来亚总罢业的胜利(本刊特约星洲航讯)","云虹"
"说亮话:往事重提话学潮","卫玉","《国讯》",1947,"第415期","封1","上海","说亮话:往事重提话学潮","卫玉"
"苞桑随笔:你们闻得血腥臭么?","抱一","《国讯》",1947,"第417期","2","上海","苞桑随笔:你们闻得血腥臭么?","抱一"
"一个美妙的梦:读胡白华“杭州集团农场”之后","周顗","《国讯》",1947,"第416期","4","上海","一个美妙的梦:读胡白华“杭州集团农场”之后","周顗"
"法意的政局与国际背景","石仲子","《国讯》",1947,"第444期","18-19","上海","法意的政局与国际背景","石仲子"
"日本的今日与明日","Conde，D.","《国讯》",1947,"第440期","6-7","上海","日本的今日与明日","Conde，D. 杨"
"日本的今日与明日","杨","《国讯》",1947,"第440期","6-7","上海","日本的今日与明日","Conde，D. 杨"
"战局一周:皖北锋烟到安庆","潮声","《国讯》",1947,"第436期","2","上海","战局一周:皖北锋烟到安庆","潮声"
"新闻人物:华北军事统帅傅作义","方芳","《国讯》",1947,"第442期","3","上海","新闻人物:华北军事统帅傅作义","方芳"
"战后苏联文化发展一斑","Yegorov，P.","《国讯》",1947,"第430期","5","上海","战后苏联文化发展一斑","Yegorov，P. 文骊"
"战后苏联文化发展一斑","文骊","《国讯》",1947,"第430期","5","上海","战后苏联文化发展一斑","Yegorov，P. 文骊"
"今日的云南(昆明航讯)","Shih，H.P.F.","《国讯》",1947,"第436期","7-8","上海","今日的云南(昆明航讯)","Shih，H.P.F. 王民"
"今日的云南(昆明航讯)","王民","《国讯》",1947,"第436期","7-8","上海","今日的云南(昆明航讯)","Shih，H.P.F. 王民"
"时事一周:金元的现实主义","石啸冲","《国讯》",1947,"第433期","10","上海","时事一周:金元的现实主义","石啸冲"
"“九一八”与本刊--国讯","江问渔","《国讯》",1947,"第431期","10-11","上海","“九一八”与本刊--国讯","江问渔"
"人民的世纪:人民团体反对对日贸易 苏代表建议严禁战争宣传","M.H.","《国讯》",1947,"第432期","11","上海","人民的世纪:人民团体反对对日贸易 苏代表建议严禁战争宣传","M.H."
"时事一周:民主与反动的斗争","石啸冲","《国讯》",1947,"第438期","10","上海","时事一周:民主与反动的斗争","石啸冲"
"外报论民盟事件","麦祥","《国讯》",1947,"第439期","2-3","上海","外报论民盟事件","麦祥"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:文幼章评中国政府","M.H.","《国讯》",1947,"第440期","11","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:文幼章评中国政府","M.H."
"说亮话:漫谈节约","卫玉","《国讯》",1947,"第438期","封1","上海","说亮话:漫谈节约","卫玉"
"大连海上的悲剧:“今日的大连”续稿","史特朗","《国讯》",1947,"第436期","8","上海","大连海上的悲剧:“今日的大连”续稿","史特朗 杨"
"大连海上的悲剧:“今日的大连”续稿","杨","《国讯》",1947,"第436期","8","上海","大连海上的悲剧:“今日的大连”续稿","史特朗 杨"
"说亮话:聪明的办法么?","卫玉","《国讯》",1947,"第436期","封1，2","上海","说亮话:聪明的办法么?","卫玉"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:张东荪对民社革新派的意见","M.H.","《国讯》",1947,"第427期","11","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:张东荪对民社革新派的意见","M.H."
"人民的世纪:报道国内外民主消息，记载全世界解放运动:美名流反对普遍军训","M.H.","《国讯》",1947,"第422期","12","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:美名流反对普遍军训","M.H."
"一周间时事研究提纲:访加内幕","石啸冲","《国讯》",1947,"第418期","9","上海","一周间时事研究提纲:访加内幕","石啸冲"
"华尔街与美国大企业:“美国内幕”之一","约翰根室","《国讯》",1947,"第424期","5，8","上海","华尔街与美国大企业:“美国内幕”之一","约翰根室 小鱼"
"华尔街与美国大企业:“美国内幕”之一","小鱼","《国讯》",1947,"第424期","5，8","上海","华尔街与美国大企业:“美国内幕”之一","约翰根室 小鱼"
"向青年学习","臧克家","《国讯》",1947,"第417期","6","上海","向青年学习","臧克家"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:中国学联成立宣言","M.H.","《国讯》",1947,"第423期","12","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:中国学联成立宣言","M.H."
"自欺欺人的考试制度","稼人","《国讯》",1947,"第423期","2","上海","自欺欺人的考试制度","稼人"
"希腊的镜子和印尼的榜样","石啸冲","《国讯》",1947,"第427期","7","上海","希腊的镜子和印尼的榜样","石啸冲"
"书报评介:“清流万里”(即“文化春秋”):于伶，吴天，陈白尘等集体创作","林焕平","《国讯》",1947,"第444期","17","上海","书报评介:“清流万里”(即“文化春秋”):于伶，吴天，陈白尘等集体创作","林焕平"
"苞桑随笔:惨!惨!","抱一","《国讯》",1947,"第414期","2-3","上海","苞桑随笔:惨!惨!","抱一"
"人民的世纪:希民主军吁请联合国援助","M.H.","《国讯》",1947,"第432期","11","上海","人民的世纪:希民主军吁请联合国援助","M.H."
"保卫世界和平与青年利益!:国际青年大会纪详","高歌","《国讯》",1947,"第430期","7-8","上海","保卫世界和平与青年利益!:国际青年大会纪详","高歌"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:学生代表赴京请愿","M.H.","《国讯》",1947,"第419期","11","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:学生代表赴京请愿","M.H."
"一周间时事研究提纲:被粉碎的阴谋","石啸冲","《国讯》",1947,"第414期","6","上海","一周间时事研究提纲:被粉碎的阴谋","石啸冲"
"说亮话:关于会考","黄炎培","《国讯》",1947,"第412期","封1","上海","说亮话:关于会考","黄炎培"
"人民的世纪:罗辛格论蒲立德建议","M.H.","《国讯》",1947,"第437期","11","上海","人民的世纪:罗辛格论蒲立德建议","M.H."
"人民的世纪:报道国内外民主消息，记载全世界解放运动:港九妇女严重抗议","M.H.","《国讯》",1947,"第430期","11","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:港九妇女严重抗议","M.H."
"教育上的联系作用","江问渔","《国讯》",1947,"第434期","5-6","上海","教育上的联系作用","江问渔"
"新德里通讯:分治后的印度(附图)","萨哈林","《国讯》",1947,"第432期","5-6","上海","新德里通讯:分治后的印度(附图)","萨哈林 王民"
"新德里通讯:分治后的印度(附图)","王民","《国讯》",1947,"第432期","5-6","上海","新德里通讯:分治后的印度(附图)","萨哈林 王民"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:各校纪念“一二、一”","M.H.","《国讯》",1947,"第444期","19","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:各校纪念“一二、一”","M.H."
"猪年的中国(下)","Martin，R.P.","《国讯》",1947,"第428期","9","上海","猪年的中国(下)","Martin，R.P. 文骥"
"猪年的中国(下)","文骥","《国讯》",1947,"第428期","9","上海","猪年的中国(下)","Martin，R.P. 文骥"
"在新开的路上:[诗歌]","林维仁","《国讯》",1947,"第438期","9","上海","在新开的路上:[诗歌]","林维仁"
"人民的世纪:记者不满邮电检查","M.H.","《国讯》",1947,"第437期","11","上海","人民的世纪:记者不满邮电检查","M.H."
"读者之声:农村的惨剧","荒野","《国讯》",1947,"第433期","12","上海","读者之声:农村的惨剧","荒野"
"介绍一个具有特殊性的学校:私立比乐中学","问渔","《国讯》",1947,"第444期","6-7","上海","介绍一个具有特殊性的学校:私立比乐中学","问渔"
"说亮话:说良心","江问渔","《国讯》",1947,"第442期","封1，3","上海","说亮话:说良心","江问渔"
"战后日本教育的改革","望月","《国讯》",1947,"第440期","9","上海","战后日本教育的改革","望月"
"“战贩”列传(1):蒲立特(下篇):及其“明哲”的中国报导","老百姓","《国讯》",1947,"第439期","10-11","上海","“战贩”列传(1):蒲立特(下篇):及其“明哲”的中国报导","老百姓 MH"
"“战贩”列传(1):蒲立特(下篇):及其“明哲”的中国报导","MH","《国讯》",1947,"第439期","10-11","上海","“战贩”列传(1):蒲立特(下篇):及其“明哲”的中国报导","老百姓 MH"
"人民的世纪:旅法华侨反对选举","M.H.","《国讯》",1947,"第443期","11","上海","人民的世纪:旅法华侨反对选举","M.H."
"沦陷区收复后的教育:中国教育学会座谈会","黄炎培","《国讯》",1945,"第390期","4","上海","沦陷区收复后的教育:中国教育学会座谈会","黄炎培"
"陪都鳞爪:抗战胜利……","大愿","《国讯》",1945,"第400期","7","上海","陪都鳞爪:抗战胜利……","大愿"
"瞻念前途","潮","《国讯》",1945,"第386期","2","上海","瞻念前途","潮"
"经济之页:手工业与工业化","秦柳方","《国讯》",1945,"第395期","7-8","上海","经济之页:手工业与工业化","秦柳方"
"短评:旧金山会议成功","华","《国讯》",1945,"第394期","2","上海","短评:旧金山会议成功","华"
"短评:邱吉尔的慧眼","华","《国讯》",1945,"第388期","3","上海","短评:邱吉尔的慧眼","华"
"短评:日寇在越建傀儡王国","澹","《国讯》",1945,"第388期","4","上海","短评:日寇在越建傀儡王国","澹"
"短评:不容忽视的复员问题","秋","《国讯》",1945,"第400期","9","上海","短评:不容忽视的复员问题","秋"
"经济之页:工业生产的萎缩情形","秦柳方","《国讯》",1945,"第392期","9","上海","经济之页:工业生产的萎缩情形","秦柳方"
"短评:日寇的新政党","澹","《国讯》",1945,"第388期","4","上海","短评:日寇的新政党","澹"
"伦敦来鸿:伦敦飞行炸弹……","黄大能","《国讯》",1945,"第385期","15","上海","伦敦来鸿:伦敦飞行炸弹……","黄大能"
"目前经建方面的几个重要问题","秦柳方","《国讯》",1945,"第404期","12-14","上海","目前经建方面的几个重要问题","秦柳方"
"由罗斯福死后看美国的民主","小鱼","《国讯》",1945,"第390期","10-11","上海","由罗斯福死后看美国的民主","小鱼"
"我们不要错过机会","梁公任","《国讯》",1945,"第386期","13-15","上海","我们不要错过机会","梁公任"
"“八一三”第八周年纪念特辑:重建上海的贸易中心","秦柳方","《国讯》",1945,"第396期","12-13","上海","“八一三”第八周年纪念特辑:重建上海的贸易中心","秦柳方"
"我国抗战中的农民生活","镜民","《国讯》",1945,"第391期","6-7","上海","我国抗战中的农民生活","镜民"
"六全代大会之决议","华","《国讯》",1945,"第392期","2","上海","六全代大会之决议","华"
"短评:法国民意的变化","华","《国讯》",1945,"第396期","3，5","上海","短评:法国民意的变化","华"
"新阶段中的世界战局与中国:我们需要一次国内克里米亚会议(自三月十六日至三十一日)(附图)","梁公任","《国讯》",1945,"第389期","11-13","上海","新阶段中的世界战局与中国:我们需要一次国内克里米亚会议(自三月十六日至三十一日)(附图)","梁公任"
"论煤荒","周伯棣","《国讯》",1945,"第388期","8","上海","论煤荒","周伯棣"
"短评:“取诸社会还之社会”:吴蕴初捐产于社会公益","澹","《国讯》",1945,"第404期","4-5","上海","短评:“取诸社会还之社会”:吴蕴初捐产于社会公益","澹"
"德国投降以后的日本","邵冲霄","《国讯》",1945,"第392期","7-8","上海","德国投降以后的日本","邵冲霄"
"新年征文(一):我们当前应有的努力:民主·科学","吴藻溪","《国讯》",1945,"第383期","18","上海","新年征文(一):我们当前应有的努力:民主·科学","吴藻溪"
"胜利了:[诗歌]","黄炎培","《国讯》",1945,"第400期","4","上海","胜利了:[诗歌]","黄炎培"
"以合作赢胜利维和平","俞颂华","《国讯》",1945,"第393期","封1","上海","以合作赢胜利维和平","俞颂华"
"论欧洲的两种势力范围","丹尼尔","《国讯》",1945,"第385期","15-19","上海","论欧洲的两种势力范围","丹尼尔"
"经济之页:今日经济与财政问题之症结:由简化机构增加盐税说起","齐纬","《国讯》",1945,"第388期","9-10","上海","经济之页:今日经济与财政问题之症结:由简化机构增加盐税说起","齐纬"
"延安五日记(续)","黄炎培","《国讯》",1945,"第400期","27-28","上海","延安五日记(续)","黄炎培"
"短评:英政局的趋势","华","《国讯》",1945,"第394期","2-3","上海","短评:英政局的趋势","华"
"陪都动态:重庆各地，反对内战之空气……","陈曦","《国讯》",1945,"第404期","6-7","上海","陪都动态:重庆各地，反对内战之空气……","陈曦"
"时事述评:崎岖险阻的道路(十月十五日--十月二十九日)","引流","《国讯》",1945,"第402期","8-9","上海","时事述评:崎岖险阻的道路(十月十五日--十月二十九日)","引流"
"亚洲与欧洲战局之新进展(附图)","梁公任","《国讯》",1945,"第387期","17-26","上海","亚洲与欧洲战局之新进展(附图)","梁公任"
"短论:失业与生产情形","华","《国讯》",1945,"第386期","4","上海","短论:失业与生产情形","华"
"本刊四百期特刊纪念文之二:我对本刊的一段经历","张雪澄","《国讯》",1945,"第400期","25-26","上海","本刊四百期特刊纪念文之二:我对本刊的一段经历","张雪澄"
"短评:英国政潮及其由来","澹","《国讯》",1945,"第392期","3，8","上海","短评:英国政潮及其由来","澹"
"论日敌政治攻势的阴谋","澹庐","《国讯》",1945,"第395期","6，8","上海","论日敌政治攻势的阴谋","澹庐"
"短评:浅而易见的几个问题","潮声","《国讯》",1945,"第400期","5","上海","短评:浅而易见的几个问题","潮声"
"关于史迪威","小鱼","《国讯》",1945,"第386期","14-15","上海","关于史迪威","小鱼"
"泛谈世界大局","引流","《国讯》",1945,"第403期","6，15","上海","泛谈世界大局","引流"
"物价飞跃生产萎缩之根因","俞颂华","《国讯》",1945,"第390期","8","上海","物价飞跃生产萎缩之根因","俞颂华"
"想对青年们说的一些话","俞颂华","《国讯》",1945,"第384期","12-15","上海","想对青年们说的一些话","俞颂华"
"从废止死刑看苏联","筠友","《国讯》",1947,"第418期","2","上海","从废止死刑看苏联","筠友"
"人民的世纪:取消非美调查会运动、抗议帝国主义歧视政策","M.H.","《国讯》",1947,"第439期","11","上海","人民的世纪:取消非美调查会运动、抗议帝国主义歧视政策","M.H."
"人民的世纪:民盟商讨政治计划","M.H.","《国讯》",1947,"第433期","11","上海","人民的世纪:民盟商讨政治计划","M.H."
"邵从恩先生(诗)(附照片)","林子木","《国讯》",1947,"第429期","7","上海","邵从恩先生(诗)(附照片)","林子木"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:立法委员呼吁和平","M.H.","《国讯》",1947,"第415期","8","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:立法委员呼吁和平","M.H."
"“不但造机器，也造人.”","茅盾","《国讯》",1947,"第431期","9","上海","“不但造机器，也造人.”","茅盾"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:军事观察家谈国军战略","M.H.","《国讯》",1947,"第424期","12","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:军事观察家谈国军战略","M.H."
"世界动荡的新阶段","林焕平","《国讯》",1947,"第438期","10-11","上海","世界动荡的新阶段","林焕平"
"欢迎(记旅途一瞥)","补斋","《国讯》",1947,"第436期","12","上海","欢迎(记旅途一瞥)","补斋"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:美人筹组第三党","M.H.","《国讯》",1947,"第423期","12","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:美人筹组第三党","M.H."
"投诗","淮阴父老","《国讯》",1947,"第441期","5","上海","投诗","淮阴父老"
"人民的世纪:邓初民讲辛亥革命的任务","M.H.","《国讯》",1947,"第436期","11","上海","人民的世纪:邓初民讲辛亥革命的任务","M.H."
"人民的世纪:参驻会通过对日和约建议、国产厂商对日和约座谈","M.H.","《国讯》",1947,"第432期","11","上海","人民的世纪:参驻会通过对日和约建议、国产厂商对日和约座谈","M.H."
"人民的世纪:哈泰要求举行公民投票","M.H.","《国讯》",1947,"第432期","11","上海","人民的世纪:哈泰要求举行公民投票","M.H."
"人民的世纪:马来亚侨胞纪念胜利日","M.H.","《国讯》",1947,"第433期","11","上海","人民的世纪:马来亚侨胞纪念胜利日","M.H."
"人民的世纪:报道国内外民主消息，记载全世界解放运动:燕大教授解决学潮办法","M.H.","《国讯》",1947,"第416期","8","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:燕大教授解决学潮办法","M.H."
"送别邵从恩先生","林木","《国讯》",1947,"第444期","5","上海","送别邵从恩先生","林木"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:侨报抗议美国虐杀华侨","M.H.","《国讯》",1947,"第413期","8","上海","人民的世纪:报道国内外民主消息，记载全世界解放运动:侨报抗议美国虐杀华侨","M.H."
